Row-names,Symbol,logFC,adj-P-Val,data
AC007967.4,NA,-0.329309056,0.705921782, 
AC008060.7,NA,-2.662649646,0.133902593, 
AC008060.8,NA,-0.119965315,1, 
AC008063.2,NA,0.180616506,0.842482412, 
AC008069.1,NA,0,1, 
AC008069.2,NA,-0.1949875,1, 
AC008073.9,NA,-0.119965315,1, 
AC008074.3,NA,0.099222538,0.921816666, 
AC008132.13,NA,-1.540621357,0.406687907, 
AC008267.1,NA,0.060714131,0.985571023, 
AC008268.1,NA,-0.220988337,0.989236758, 
AC008268.2,NA,0,1, 
AC008269.2,NA,-1.423654838,0.354354024, 
AC008271.1,NA,-0.442865398,0.986288212, 
AC008278.3,NA,-1.039754955,0.766802499, 
AC008280.1,NA,-0.054499577,0.989236758, 
AC008281.1,NA,0,1, 
AC008394.1,NA,-0.147863342,1, 
AC008440.10,NA,0.075640692,0.960962627, 
AC008440.5,NA,0,1, 
AC008592.3,NA,-0.144319802,0.846269817, 
AC008694.2,NA,0.259257683,0.889900476, 
AC008694.3,NA,-1.249487078,0.63012232, 
AC008697.1,NA,0.878390232,0.727343997, 
AC008703.1,NA,-1.401094158,0.719290575, 
AC008738.1,NA,0.395203869,0.745277314, 
AC008746.3,NA,0,1, 
AC008753.6,NA,0.297785372,0.790129007, 
AC008781.7,NA,0.12984354,0.887096924, 
AC008834.1,NA,-0.282665636,0.730831541, 
AC008865.1,NA,0.060714131,1, 
AC008940.1,NA,-1.262303319,0.737764145, 
AC008984.5,NA,0,1, 
AC008984.6,NA,-0.119965315,0.880075147, 
AC008984.7,NA,0.050408465,0.998307453, 
AC008992.1,NA,0,1, 
AC009005.2,NA,-0.808560073,0.837001751, 
AC009061.1,NA,-0.211932145,0.823392183, 
AC009065.1,NA,-0.212885662,0.953850059, 
AC009093.1,NA,-1.392215901,0.731504313, 
AC009120.4,NA,-0.074130807,1, 
AC009120.5,NA,-0.220988337,0.768185457, 
AC009120.6,NA,-0.2935038,0.767874229, 
AC009133.12,NA,-0.440161559,0.492875275, 
AC009133.14,NA,0,1, 
AC009133.17,NA,-0.639286292,0.89500572, 
AC009228.1,NA,-0.740109985,0.646101544, 
AC009229.5,NA,0.034375881,1, 
AC009237.2,NA,0,1, 
AC009237.8,NA,-1.925412863,0.498361026, 
AC009262.2,NA,-0.249324302,0.947838622, 
AC009299.3,NA,0,1, 
AC009312.1,NA,-0.62917509,0.648045884, 
AC009365.3,NA,0.33517285,0.97381847, 
AC009403.2,NA,-0.125526193,1, 
AC009404.2,NA,-0.523293089,0.91396776, 
AC009469.1,NA,0,1, 
AC009474.1,NA,-0.415807072,0.925593889, 
AC009487.4,NA,-0.074130807,0.957099368, 
AC009492.1,NA,-1.310455962,0.238964892, 
AC009495.2,NA,0.180616506,0.842482412, 
AC009499.1,NA,0.117037209,0.902194952, 
AC009501.4,NA,-0.014457394,1, 
AC009502.4,NA,0,1, 
AC009505.2,NA,0.055598105,0.989236758, 
AC009505.4,NA,0.318254624,0.787139385, 
AC009506.1,NA,0.740260478,0.883363546, 
AC009518.2,NA,-0.119965315,0.880075147, 
AC009518.4,NA,-1.520749412,0.737764145, 
AC009518.8,NA,0,1, 
AC009531.2,NA,-0.1786843,0.968327606, 
AC009542.2,NA,-0.080952174,0.946040182, 
AC009878.2,NA,-0.119965315,0.880075147, 
AC009892.10,NA,0,1, 
AC009947.2,NA,0.045143061,1, 
AC009948.5,NA,-0.841282286,0.799418568, 
AC009950.2,NA,-0.338886626,0.99039518, 
AC009951.1,NA,0.010171535,1, 
AC009951.2,NA,0.034375881,1, 
AC009961.2,NA,-0.121710864,0.863341744, 
AC009961.3,NA,-0.525075598,0.552693966, 
AC009963.4,NA,-0.313702104,0.713148099, 
AC009965.1,NA,-0.566813239,0.652855852, 
AC010082.2,NA,0.070733491,0.968270412, 
AC010084.1,NA,0.539451211,0.89583707, 
AC010086.1,NA,-0.533634681,0.811569051, 
AC010090.1,NA,-0.329309056,0.705921782, 
AC010096.1,NA,0,1, 
AC010127.3,NA,-0.161808942,0.828808559, 
AC010132.10,NA,0,1, 
AC010136.2,NA,-0.161808942,0.823392183, 
AC010141.1,NA,-1.693765261,0.28499777, 
AC010146.1,NA,-0.964669768,0.636432957, 
AC010148.1,NA,-0.443838048,0.878671205, 
AC010226.4,NA,-0.87612826,0.703695777, 
AC010327.2,NA,0,1, 
AC010336.1,NA,-0.51235938,0.921816666, 
AC010441.1,NA,0.939504,0.795521839, 
AC010492.2,NA,0.057653232,0.989236758, 
AC010504.2,NA,-0.690129776,0.712820404, 
AC010524.2,NA,-0.237898605,0.880075147, 
AC010525.1,NA,0.034375881,1, 
AC010536.1,NA,0.117037209,0.925611995, 
AC010547.9,NA,0.75,0.758031119, 
AC010641.1,NA,-1.628904238,0.460843972, 
AC010642.1,NA,-0.035873092,1, 
AC010729.1,NA,0.424788829,0.948021756, 
AC010729.2,NA,0,1, 
AC010729.3,NA,0.034375881,1, 
AC010731.3,NA,0,1, 
AC010731.4,NA,-1.040449006,0.618291789, 
AC010733.4,NA,0.342308452,0.788554441, 
AC010745.1,NA,-0.210756072,0.775319922, 
AC010745.2,NA,-0.063011275,0.976986126, 
AC010745.4,NA,0,1, 
AC010883.5,NA,-0.65243185,0.755971816, 
AC010890.1,NA,-0.161808942,0.823392183, 
AC010894.3,NA,-0.474639879,0.787439688, 
AC010907.2,NA,-0.119965315,0.880075147, 
AC010907.5,NA,0,1, 
AC010969.1,NA,-1.45007734,0.320835687, 
AC010976.2,NA,-0.561855481,0.653347311, 
AC010980.2,NA,-2.38428703,0.213134386, 
AC010982.1,NA,-0.483553803,0.884950707, 
AC010983.1,NA,-0.295841757,0.723599407, 
AC010987.6,NA,0,1, 
AC011193.1,NA,0,1, 
AC011286.1,NA,-1.290888207,0.605602219, 
AC011288.2,NA,0,1, 
AC011294.3,NA,-0.119965315,1, 
AC011298.2,NA,-2.695950038,0.125766783, 
AC011322.1,NA,0,1, 
AC011330.5,NA,0.558633785,0.826867578, 
AC011343.1,NA,0.211999227,0.998307453, 
AC011366.3,NA,-0.959248083,0.684518091, 
AC011385.1,NA,0,1, 
AC011498.1,NA,0,1, 
AC011513.4,NA,-0.583773629,0.652198811, 
AC011515.2,NA,-0.62917509,0.648045884, 
AC011516.2,NA,0.221881318,0.963146811, 
AC011518.1,NA,0,1, 
AC011524.1,NA,-1.076700172,0.73126478, 
AC011524.3,NA,0,1, 
AC011525.2,NA,0,1, 
AC011526.1,NA,0.123232375,1, 
AC011530.4,NA,0.041397142,1, 
AC011551.3,NA,-0.337324214,0.720400246, 
AC011648.1,NA,0,1, 
AC011718.2,NA,0,1, 
AC011737.2,NA,-1.066472621,0.277114339, 
AC011742.3,NA,0.136080129,0.850603807, 
AC011742.5,NA,0,1, 
AC011747.3,NA,-0.253068367,0.921961268, 
AC011747.4,NA,-0.269118307,0.837770769, 
AC011747.6,NA,0.403153654,0.675219158, 
AC011747.7,NA,0.477781465,0.842482412, 
AC011893.3,NA,0.045143061,1, 
AC011899.10,NA,0.02627531,1, 
AC011899.9,NA,0.78218471,0.804712283, 
AC011997.1,NA,-0.67667325,0.693011494, 
AC012005.2,NA,0,1, 
