"signature","wcs","tau"
"Human pulmonary artery endothelial cells  (hPAECs) with downregulated BMPR2 signaling demonstrate a unique gene expression signature after exposure to overexpression of AdAlox5 GSE133749_4",0,8.68650056494367
"Gene expression profiles in HMC3 cells after exposure to ketamine or its active metabolites: 2R6R-HNK and 2S6S-HNK GSE134782_1",0,8.68650056494367
"Gene expression profiles in HMC3 cells after exposure to ketamine or its active metabolites: 2R6R-HNK and 2S6S-HNK GSE134782_4",0,8.68650056494367
"Gene expression profiles in HMC3 cells after exposure to ketamine or its active metabolites: 2R6R-HNK and 2S6S-HNK GSE134782_6",0,8.68650056494367
"Gene expression profiles in HMC3 cells after exposure to ketamine or its active metabolites: 2R6R-HNK and 2S6S-HNK GSE134782_7",0,8.68650056494367
"Effect of venetoclax, tedizolid, and combination treatment on gene expression in a venetoclax-resistant AML cell line GSE136032_1",0,8.68650056494367
"Effective FTO inhibitors with potent anti-tumor efficacy suppress cancer stem/initiating cell self-renewal and overcome immune evasion GSE136204_1",0,8.68650056494367
"Multi-treatment models for breast cancer GSE136823_2",0,8.68650056494367
"Multi-treatment models for breast cancer GSE136823_3",0,8.68650056494367
"Multi-treatment models for breast cancer GSE136823_4",0,8.68650056494367
"Multi-treatment models for breast cancer GSE136823_7",0,8.68650056494367
"Caco2 response to methotrexate, lactoferrin, and methotrexate-lactoferrin co-exposure GSE140066_1",0,8.68650056494367
"Caco2 response to methotrexate, lactoferrin, and methotrexate-lactoferrin co-exposure GSE140066_3",0,8.68650056494367
"A novel RAF kinase inhibitor with DFG-out binding mode: high efficacy in BRAF-mutant tumor xenograft models in the absence of normal tissue hyperproliferation GSE74729_1",0,8.68650056494367
"Genes regulated by COUP-TFII inhibitor GSE142475_1",0,8.68650056494367
"Genes regulated by COUP-TFII inhibitor GSE142475_2",0,8.68650056494367
"Transcriptional responses to TNF following HFl treatment of primary rheumatoid arthritis fibroblast like synoviocytes (RA-FLS) GSE145204_2",0,8.68650056494367
"Expression analysis after co-treatment of GSK126 and pomalidomide GSE147320_1",0,8.68650056494367
"Expression analysis after co-treatment of GSK126 and pomalidomide GSE147320_3",0,8.68650056494367
"RNA-seq analysis of human KMT2A rearranged Molm14 AML cell line treated with DOT1L and/or EZH2 inhibitor GSE149520_1",0,8.68650056494367
"RNA-seq analysis of human KMT2A rearranged Molm14 AML cell line treated with DOT1L and/or EZH2 inhibitor GSE149520_2",0,8.68650056494367
"RNA-seq analysis of human KMT2A rearranged Molm14 AML cell line treated with DOT1L and/or EZH2 inhibitor GSE149520_3",0,8.68650056494367
"RNA-seq of HCC1428 LTED breast cancer cell line post ligand treatment GSE154058_2",0,8.68650056494367
"RNA Sequencing facilitates quantitative analysis of differently expressed genes with GA or SKN treatment in rheumatoid fibroblast-like synoviocytes GSE155766_3",0,8.68650056494367
"Effect of BET bromodomain inhibitor and/or mTOR inhibitor on transcriptome of small cell lung cancer patient-derived xenograft LX95 tumors GSE155923_1",0,8.68650056494367
"Effect of BET bromodomain inhibitor and/or mTOR inhibitor on transcriptome of small cell lung cancer patient-derived xenograft LX95 tumors GSE155923_2",0,8.68650056494367
"Effect of BET bromodomain inhibitor and/or mTOR inhibitor on transcriptome of small cell lung cancer patient-derived xenograft LX95 tumors GSE155923_3",0,8.68650056494367
"HDAC inhibitors result in widespread alteration of the histone acetylation landscape and BRD4 targeting to gene bodies  GSE159620_3",0,8.68650056494367
"EZH2 inhibitor efficacy in non-Hodgkin lymphoma does not require suppression of H3K27 mono-methylation [RNA-Seq] GSE62056_1",0,8.68650056494367
"EZH2 inhibitor efficacy in non-Hodgkin lymphoma does not require suppression of H3K27 mono-methylation [RNA-Seq] GSE62056_2",0,8.68650056494367
"EZH2 inhibitor efficacy in non-Hodgkin lymphoma does not require suppression of H3K27 mono-methylation [RNA-Seq] GSE62056_3",0,8.68650056494367
